1500,  Sm Paper, 	00.75, 		1,		25
1400,  Med Paper, 	01.25,		2,		15
1301,  Lg Paper, 	01.75,		4,		45
1202,  B & W , 		02.00,		5,		16
1104,  Sm Plastic, 	01.00, 		2,		20
1103,  Md Plastic, 	01.99, 		5,		77
1304,  Lg Plastic,	02.75, 		3,		17
1599, Checkered,	25.00,		5,		08
2205,  Turkey,		01.00, 		3,		21
2306,  Lg Turkey,	01.99, 		4,		  8
2204,  Ornament,  	02.75, 		3,		12
2107,  Apple,		01.00, 		1,		  8
2208,  Pear,	 	01.99, 		5,		12
2206,  Orange,		02.75, 		4,		33
2108,  Sm Corn,		01.00, 		1,		  8
2209,  Md Corn, 	01.99, 		5,		12
2207,  Lg Corn,		02.75, 		3,		33
2689,  S & P,		10.99,		5,		10
3103,  Fork,   		19.00, 		2,		13
3100,  Knife,   	05.00, 		4,		16
3105,  Spoon, 		03.80, 		4,		25
3206,  Server,		15.45, 		4,		11
4701,  Gold,		01.25, 		5,		50
4704,  Silver,		02.20,		1,		65
4706,  Orange, 		02.99,		1,		61
4707,  Pink,		07.00,		3,		15
4700,  Blue,		97.50,		2,		 01
4801,  Green, 		01.25,		3,		16
4105,  Md Gold,   	02.20,		4,		05
4106,  Lg Gold, 	02.99,		1,		61
4107,  Sm Sq,		01.25,		5,		10
4406,  Md Sq,		02.20,		4,		20
4407,  Lg Sq,		02.99,		5,		60
4305,  Sm Round, 	01.25,		5,		16
4306,  Md Round, 	02.25,		5,		10
4307,  Lg Round, 	03.25,		5,		26
4605,  Sm Blue, 	01.25,		5,		17
4606,  Md Blue, 	02.25,		5,		16
4607,  Lg Blue, 	03.25,		5,		30
4605,  Sm Red, 		01.25,		5,		16
4606,  Md Red, 		02.25,		5,		45
4607,  Lg Red, 		03.25,		3,		11
5200,  1 Yelw,		04.00,		2,		36
5201,  Dbl Yelw,	08.00,		3,		06
5207,  Tpl Yelw,	11.25,		5,		40
5400,  Fancy,		04.50,		2,		35
5401,  Plain,		08.11,		3,		15
5409,  Beige,		11.00,		1,		10
6408,  4 Plain,		03.55,		5,		10
6408,  6 Plain,		04.95,		1,		11
6403,  10 Plain,	05.78,		3,		09
6400,  12 Plain,	08.75,		4,		35
6450,  4 White,		03.55,		2,		13
6205,  6 White,  	04.95,		5,		22
6200,  8 White, 	05.78,		4,		10
6208,  12 Fancy,	08.75,		5,		03
6609,  4 Fancy, 	03.55,		4,		01
6608,  6 Fancy,		04.95,		3,		19
6607,  10 Fancy,	05.78,		3,		06
6607,  12 Fancy,	08.75,		3,		26
